job_id,employer,industry,title,location_raw,work_type,city,state,date_applied,status,source_page
11022175,Sony Music Entertainment,"Movies, TV, Music, Gaming",Environmental Social Governance Specialist,"Onsite, based in Los Angeles, CA",Onsite,Los Angeles,CA,2026-05-08,Applied,0
11005041,Heartflow,Medical Devices,Make an Impact - Imaging Analyst at Heartflow - Training included,"Hybrid, based in Austin, TX",,Austin,TX,2026-05-08,Applied,0
10905518,Cobbs Creek Healthcare,Pharmaceuticals,Data Analyst - Junior,"Onsite, based in Newtown Square, PA",Onsite,Newtown Square,PA,2026-04-29,Applied,0
10997336,Walther Farms,Agriculture,IT Systems & Data Administrator,"Hybrid or onsite, based in Three Rivers, MI",,Three Rivers,MI,2026-04-29,Applied,0
10935270,Ekimetrics,Scientific and Technical Consulting,"Junior Business Scientist, Data Science and Marketing Effectiveness","Hybrid, based in New York, NY",,New York,NY,2026-04-29,Applied,0
10953417,Tenzing Global Management,Investment / Portfolio Management,Analyst,"Onsite, based in San Francisco, CA",Onsite,San Francisco,CA,2026-04-29,Applied,0
10957465,Oakmont Education,K-12 Education,Data Analytics Marketing Intern,"Onsite, based in Fairlawn, OH",Onsite,Fairlawn,OH,2026-04-29,Applied,0
10975080,Novateur Research Solutions,Research,Junior Linux Systems Administrator,"Onsite, based in Ashburn, VA",Onsite,Ashburn,VA,2026-04-26,Applied,0
10955911,Bose Corporation (MA),Electronic & Computer Hardware,Entry-Level NLP Data Scientist,"Hybrid, based in Framingham, MA",,Framingham,MA,2026-04-25,Applied,0
10964904,Preference Model,Internet & Software,Machine Learning Engineer (New Grad),"Onsite, based in San Francisco, CA",Onsite,San Francisco,CA,2026-04-20,Applied,0
10879354,Deluxe Corporation,Internet & Software,Data Driven Marketing Analyst - Performance Optimization,"Hybrid, based in New York, NY",,New York,NY,2026-04-20,Applied,0
10951997,Brooksource,Scientific and Technical Consulting,Junior IT Project Lead (Management Training Path),"Hybrid, based in Lansing, MI",,Lansing,MI,2026-04-19,Applied,0
10891191,Amentum,Government - Consulting,Cloud Developer – Junior (Team 04),"Onsite, based in Washington, DC",Onsite,Washington,DC,2026-04-19,Applied,0
10961592,Symbotic,Other Industries,"New Grad- Software Engineer, ML Ops","Hybrid or onsite, based in Wilmington, MA",,Wilmington,MA,2026-04-17,Applied,0
10903803,Hudson Advisors,Investment / Portfolio Management,"Data Engineer, AI Systems Engineer","Hybrid, based in Dallas, TX",,Dallas,TX,2026-04-17,Applied,0
10957645,Halvik Corp,Information Technology,Data Engineer,"Remote, based in United States",Remote,United States,,2026-04-17,Applied,0
